date,oil_rate_bopd,gas_rate_mcfd,water_rate_bwpd
2020-01-01,1200,3600,150
2020-02-01,1150,3450,160
2020-03-01,1080,3240,170
2020-04-01,1020,3060,180
2020-05-01,970,2910,190
2020-06-01,920,2760,200
2020-07-01,875,2625,210
2020-08-01,835,2505,220
2020-09-01,798,2394,230
2020-10-01,762,2286,240
2020-11-01,730,2190,250
2020-12-01,700,2100,260
2021-01-01,672,2016,270
2021-02-01,646,1938,275
2021-03-01,622,1866,280
2021-04-01,600,1800,285
2021-05-01,579,1737,290
2021-06-01,560,1680,295
2021-07-01,542,1626,300
2021-08-01,525,1575,305
2021-09-01,509,1527,310
2021-10-01,494,1482,312
2021-11-01,480,1440,315
2021-12-01,467,1401,318
2022-01-01,455,1365,320
2022-02-01,443,1329,322
2022-03-01,432,1296,324
2022-04-01,421,1263,326
2022-05-01,411,1233,328
2022-06-01,402,1206,330
2022-07-01,393,1179,332
2022-08-01,384,1152,334
2022-09-01,376,1128,335
2022-10-01,368,1104,336
2022-11-01,361,1083,337
2022-12-01,354,1062,338
